inference,topic,vocabulary,count
true,1,1,149
true,1,2,148
true,1,3,149
true,1,4,136
true,1,5,132
true,1,6,163
true,1,7,161
true,1,8,125
true,1,9,149
true,1,10,127
true,2,11,160
true,2,12,165
true,2,13,139
true,2,14,154
true,2,15,144
true,2,16,191
true,2,17,164
true,2,18,157
true,2,19,165
true,2,20,148
true,3,21,136
true,3,22,147
true,3,23,147
true,3,24,143
true,3,25,144
true,3,26,152
true,3,27,152
true,3,28,154
true,3,29,139
true,3,30,145
true,4,31,167
true,4,32,143
true,4,33,157
true,4,34,176
true,4,35,136
true,4,36,149
true,4,37,158
true,4,38,144
true,4,39,163
true,4,40,161
true,5,41,151
true,5,42,141
true,5,43,148
true,5,44,140
true,5,45,138
true,5,46,113
true,5,47,154
true,5,48,129
true,5,49,126
true,5,50,134
true,6,51,164
true,6,52,149
true,6,53,131
true,6,54,155
true,6,55,159
true,6,56,165
true,6,57,136
true,6,58,153
true,6,59,144
true,6,60,131
true,7,61,177
true,7,62,167
true,7,63,177
true,7,64,183
true,7,65,154
true,7,66,192
true,7,67,160
true,7,68,173
true,7,69,148
true,7,70,166
true,8,71,160
true,8,72,166
true,8,73,135
true,8,74,143
true,8,75,143
true,8,76,154
true,8,77,144
true,8,78,172
true,8,79,156
true,8,80,140
true,9,81,141
true,9,82,116
true,9,83,131
true,9,84,142
true,9,85,153
true,9,86,126
true,9,87,145
true,9,88,152
true,9,89,151
true,9,90,153
true,10,91,169
true,10,92,130
true,10,93,136
true,10,94,134
true,10,95,113
true,10,96,144
true,10,97,124
true,10,98,136
true,10,99,155
true,10,100,154
crs,1,1,161
crs,1,2,148
crs,1,3,190
crs,1,4,151
crs,1,5,173
crs,1,6,160
crs,1,7,163
crs,1,8,177
crs,1,9,183
crs,1,10,177
crs,1,25,1
crs,1,28,2
crs,1,40,1
crs,1,45,13
crs,1,51,1
crs,2,1,5
crs,2,11,134
crs,2,12,126
crs,2,13,129
crs,2,14,154
crs,2,15,113
crs,2,16,134
crs,2,17,138
crs,2,18,148
crs,2,19,141
crs,2,20,151
crs,2,22,5
crs,2,25,1
crs,2,64,1
crs,2,68,3
crs,2,90,1
crs,2,93,1
crs,3,21,127
crs,3,22,144
crs,3,23,136
crs,3,24,147
crs,3,25,146
crs,3,26,149
crs,3,27,125
crs,3,28,159
crs,3,29,163
crs,3,30,132
crs,3,31,1
crs,3,75,3
crs,3,76,3
crs,4,31,141
crs,4,32,131
crs,4,33,116
crs,4,34,141
crs,4,35,152
crs,4,36,145
crs,4,37,126
crs,4,38,152
crs,4,39,153
crs,4,40,148
crs,5,38,1
crs,5,41,145
crs,5,42,139
crs,5,43,147
crs,5,44,136
crs,5,45,130
crs,5,46,147
crs,5,47,152
crs,5,48,143
crs,5,49,148
crs,5,50,152
crs,5,82,2
crs,6,53,156
crs,6,54,140
crs,6,55,160
crs,6,56,166
crs,6,57,135
crs,6,58,143
crs,6,59,142
crs,6,60,154
crs,6,61,144
crs,6,62,172
crs,6,73,1
crs,7,17,1
crs,7,24,2
crs,7,49,5
crs,7,63,158
crs,7,64,161
crs,7,67,144
crs,7,68,128
crs,7,73,130
crs,7,74,155
crs,7,75,161
crs,7,76,146
crs,7,77,136
crs,7,78,153
crs,7,79,1
crs,7,83,3
crs,8,3,2
crs,8,7,4
crs,8,16,4
crs,8,48,1
crs,8,51,143
crs,8,52,191
crs,8,63,1
crs,8,64,3
crs,8,65,164
crs,8,66,157
crs,8,69,139
crs,8,70,154
crs,8,71,160
crs,8,72,165
crs,8,79,164
crs,8,80,148
crs,8,85,1
crs,9,17,1
crs,9,40,2
crs,9,81,136
crs,9,82,147
crs,9,83,155
crs,9,84,144
crs,9,85,166
crs,9,86,143
crs,9,87,157
crs,9,88,176
crs,9,89,163
crs,9,90,160
crs,10,4,3
crs,10,49,1
crs,10,59,1
crs,10,91,155
crs,10,92,154
crs,10,93,123
crs,10,94,136
crs,10,95,113
crs,10,96,144
crs,10,97,136
crs,10,98,134
crs,10,99,169
crs,10,100,130
null,1,53,1
null,2,45,1
null,2,55,1
null,3,1,159
null,3,2,148
null,3,3,192
null,3,4,150
null,3,5,172
null,3,6,159
null,3,7,164
null,3,8,177
null,3,9,179
null,3,10,177
null,3,44,1
null,3,45,9
null,3,51,1
null,4,1,7
null,4,4,3
null,4,11,132
null,4,12,126
null,4,13,129
null,4,14,152
null,4,15,113
null,4,16,135
null,4,17,136
null,4,18,148
null,4,19,141
null,4,20,151
null,4,22,3
null,4,40,1
null,4,46,1
null,4,68,5
null,4,70,1
null,4,71,1
null,4,78,1
null,4,79,5
null,5,21,127
null,5,22,146
null,5,23,135
null,5,24,149
null,5,25,148
null,5,26,149
null,5,27,125
null,5,28,156
null,5,29,163
null,5,30,132
null,5,64,4
null,5,76,2
null,5,91,1
null,6,14,2
null,6,31,142
null,6,32,130
null,6,33,116
null,6,34,141
null,6,35,152
null,6,36,144
null,6,37,126
null,6,38,153
null,6,39,153
null,6,40,149
null,6,59,1
null,6,89,1
null,7,4,1
null,7,41,144
null,7,42,139
null,7,43,147
null,7,44,135
null,7,45,133
null,7,46,146
null,7,47,152
null,7,48,143
null,7,49,152
null,7,50,152
null,7,58,2
null,7,76,1
null,8,5,1
null,8,6,1
null,8,49,2
null,8,53,155
null,8,54,140
null,8,55,159
null,8,56,166
null,8,57,135
null,8,58,141
null,8,59,142
null,8,60,153
null,8,61,144
null,8,62,166
null,8,100,2
null,9,17,4
null,9,23,1
null,9,32,1
null,9,36,1
null,9,48,1
null,9,63,159
null,9,64,161
null,9,67,144
null,9,68,126
null,9,73,131
null,9,74,155
null,9,75,164
null,9,76,146
null,9,77,136
null,9,78,152
null,9,83,2
null,10,7,3
null,10,16,3
null,10,40,1
null,10,51,142
null,10,52,191
null,10,65,164
null,10,66,157
null,10,69,138
null,10,70,153
null,10,71,159
null,10,72,165
null,10,79,160
null,10,80,147
null,11,9,4
null,11,41,1
null,11,51,1
null,11,69,1
null,11,91,154
null,11,92,154
null,11,93,124
null,11,94,136
null,11,95,113
null,11,96,142
null,11,97,136
null,11,98,134
null,11,99,169
null,11,100,128
null,12,11,2
null,12,28,5
null,12,60,1
null,12,62,6
null,12,80,1
null,12,81,136
null,12,82,149
null,12,83,156
null,12,84,144
null,12,85,167
null,12,86,143
null,12,87,157
null,12,88,176
null,12,89,162
null,12,90,161
null,12,96,2
rand,1,29,3
rand,1,30,4
rand,1,85,1
rand,1,91,1
rand,1,95,3
rand,2,1,160
rand,2,2,148
rand,2,3,192
rand,2,4,149
rand,2,5,173
rand,2,6,160
rand,2,7,162
rand,2,8,176
rand,2,9,183
rand,2,10,177
rand,2,25,2
rand,2,28,3
rand,2,45,10
rand,2,98,1
rand,3,1,6
rand,3,4,5
rand,3,11,133
rand,3,12,126
rand,3,13,129
rand,3,14,154
rand,3,15,113
rand,3,16,138
rand,3,17,140
rand,3,18,148
rand,3,19,141
rand,3,20,151
rand,3,45,2
rand,3,68,1
rand,3,79,2
rand,3,90,3
rand,4,21,125
rand,4,22,149
rand,4,23,136
rand,4,24,149
rand,4,25,146
rand,4,26,149
rand,4,27,125
rand,4,28,158
rand,4,29,160
rand,4,30,128
rand,4,49,1
rand,4,76,2
rand,5,31,142
rand,5,32,131
rand,5,33,115
rand,5,34,141
rand,5,35,152
rand,5,36,142
rand,5,37,125
rand,5,38,153
rand,5,39,153
rand,5,40,150
rand,5,75,1
rand,5,83,1
rand,6,41,145
rand,6,42,139
rand,6,43,147
rand,6,44,136
rand,6,45,131
rand,6,46,147
