inference,topic,vocabulary,count
true,1,1,628
true,1,2,579
true,1,3,568
true,1,4,613
true,1,5,559
true,2,6,618
true,2,7,598
true,2,8,542
true,2,9,611
true,2,10,585
true,3,11,654
true,3,12,679
true,3,13,695
true,3,14,631
true,3,15,643
true,4,16,661
true,4,17,655
true,4,18,647
true,4,19,635
true,4,20,631
true,5,21,502
true,5,22,536
true,5,23,522
true,5,24,545
true,5,25,527
null,1,2,2
null,1,10,1
null,1,19,2
null,2,1,1
null,2,2,2
null,2,3,11
null,2,4,16
null,2,5,3
null,2,12,9
null,2,15,6
null,2,17,4
null,3,1,565
null,3,2,538
null,3,3,600
null,3,4,602
null,3,5,595
null,3,10,1
null,4,6,527
null,4,7,545
null,4,8,522
null,4,9,536
null,4,10,500
null,4,13,4
null,4,17,4
null,5,11,631
null,5,12,652
null,5,13,649
null,5,14,647
null,5,15,629
null,5,19,4
null,6,13,2
null,6,16,613
null,6,17,560
null,6,18,579
null,6,19,610
null,6,20,559
null,7,1,19
null,7,19,12
null,7,21,679
null,7,22,654
null,7,23,631
null,7,24,695
null,7,25,643
crs,1,1,566
crs,1,2,542
crs,1,3,610
crs,1,4,615
crs,1,5,597
crs,1,21,4
crs,1,22,1
crs,2,6,524
crs,2,7,543
crs,2,8,522
crs,2,9,536
crs,2,10,502
crs,2,11,3
crs,2,18,5
crs,2,22,1
crs,3,4,3
crs,3,11,627
crs,3,12,661
crs,3,13,648
crs,3,14,647
crs,3,15,635
crs,3,20,2
crs,4,3,1
crs,4,5,1
crs,4,6,3
crs,4,11,1
crs,4,16,613
crs,4,17,568
crs,4,18,574
crs,4,19,628
crs,4,20,556
crs,4,21,1
crs,5,1,19
crs,5,7,2
crs,5,13,7
crs,5,20,1
crs,5,21,674
crs,5,22,652
crs,5,23,631
crs,5,24,695
crs,5,25,643
rand,1,19,1
rand,1,21,1
rand,2,11,6
rand,2,15,6
rand,3,1,575
rand,3,2,542
rand,3,3,611
rand,3,4,617
rand,3,5,597
rand,3,12,6
rand,3,14,2
rand,3,18,1
rand,3,25,2
rand,4,6,526
rand,4,7,545
rand,4,8,522
rand,4,9,536
rand,4,10,496
rand,4,21,1
rand,4,24,2
rand,5,4,1
rand,5,11,625
rand,5,12,655
rand,5,13,655
rand,5,14,645
rand,5,15,629
rand,6,6,1
rand,6,10,6
rand,6,16,607
rand,6,17,568
rand,6,18,578
rand,6,19,627
rand,6,20,559
rand,7,1,10
rand,7,5,1
rand,7,16,6
rand,7,21,677
rand,7,22,654
rand,7,23,631
rand,7,24,693
rand,7,25,641
rgs,1,1,3
rgs,2,4,5
rgs,2,15,8
rgs,2,17,7
rgs,3,1,569
rgs,3,2,542
rgs,3,3,610
rgs,3,4,613
rgs,3,5,598
rgs,3,14,6
rgs,3,20,9
rgs,4,6,527
rgs,4,7,545
rgs,4,8,522
rgs,4,9,536
rgs,4,10,502
rgs,4,24,2
rgs,5,11,631
rgs,5,12,661
rgs,5,13,655
rgs,5,14,641
rgs,5,15,624
rgs,6,1,2
rgs,6,15,3
rgs,6,16,613
rgs,6,17,561
rgs,6,18,579
rgs,6,19,620
rgs,6,20,550
rgs,7,1,11
rgs,7,3,1
rgs,7,19,8
rgs,7,21,679
rgs,7,22,654
rgs,7,23,631
rgs,7,24,693
rgs,7,25,643
sa,1,20,1
sa,2,4,1
sa,2,22,1
sa,3,4,4
sa,3,16,1
sa,3,17,6
sa,4,1,15
sa,4,11,68
sa,4,12,28
sa,4,13,40
sa,4,14,60
sa,4,15,52
sa,4,19,4
sa,4,21,6
sa,4,22,3
sa,5,1,570
sa,5,2,541
sa,5,3,605
sa,5,4,613
sa,5,5,586
sa,5,21,10
sa,6,2,1
sa,6,6,185
sa,6,7,243
sa,6,8,212
sa,6,9,105
sa,6,10,160
sa,6,11,4
sa,6,15,1
sa,7,6,342
sa,7,7,302
sa,7,8,308
sa,7,9,431
sa,7,10,342
sa,8,5,10
sa,8,11,559
sa,8,12,633
sa,8,13,615
sa,8,14,587
sa,8,15,580
sa,8,22,3
sa,9,5,2
sa,9,16,612
sa,9,17,562
sa,9,18,579
sa,9,19,613
sa,9,20,558
sa,10,3,6
sa,10,8,2
sa,10,15,2
sa,10,19,11
sa,10,21,663
sa,10,22,647
sa,10,23,631
sa,10,24,695
sa,10,25,643
