inference,topic,vocabulary,count
true,1,1,628
true,1,2,579
true,1,3,568
true,1,4,613
true,1,5,559
true,2,6,618
true,2,7,598
true,2,8,542
true,2,9,611
true,2,10,585
true,3,11,654
true,3,12,679
true,3,13,695
true,3,14,631
true,3,15,643
true,4,16,661
true,4,17,655
true,4,18,647
true,4,19,635
true,4,20,631
true,5,21,502
true,5,22,536
true,5,23,522
true,5,24,545
true,5,25,527
null,1,1,584
null,1,2,542
null,1,3,611
null,1,4,617
null,1,5,598
null,1,7,1
null,1,13,5
null,1,19,6
null,2,6,527
null,2,7,544
null,2,8,522
null,2,9,536
null,2,10,502
null,2,11,3
null,2,12,1
null,3,11,628
null,3,12,660
null,3,13,648
null,3,14,647
null,3,15,635
null,3,18,1
null,4,4,1
null,4,13,2
null,4,16,613
null,4,17,568
null,4,18,578
null,4,19,622
null,4,20,559
null,4,22,2
null,5,1,1
null,5,21,679
null,5,22,652
null,5,23,631
null,5,24,695
null,5,25,643
crs,1,1,584
crs,1,2,542
crs,1,3,611
crs,1,4,618
crs,1,5,598
crs,1,7,1
crs,1,9,3
crs,1,14,4
crs,1,19,18
crs,2,1,1
crs,2,6,527
crs,2,7,544
crs,2,8,522
crs,2,9,533
crs,2,10,502
crs,2,19,1
crs,2,21,2
crs,3,11,631
crs,3,12,661
crs,3,13,655
crs,3,14,635
crs,3,15,635
crs,4,14,8
crs,4,16,613
crs,4,17,568
crs,4,18,579
crs,4,19,609
crs,4,20,559
crs,5,21,677
crs,5,22,654
crs,5,23,631
crs,5,24,695
crs,5,25,643
rand,1,15,1
rand,1,16,4
rand,2,1,583
rand,2,2,536
rand,2,3,611
rand,2,4,618
rand,2,5,598
rand,2,9,1
rand,2,19,2
rand,2,22,9
rand,3,6,527
rand,3,7,545
rand,3,8,522
rand,3,9,535
rand,3,10,502
rand,4,11,631
rand,4,12,657
rand,4,13,654
rand,4,14,647
rand,4,15,634
rand,5,12,4
rand,5,16,609
rand,5,17,568
rand,5,18,579
rand,5,19,613
rand,5,20,559
rand,5,22,3
rand,6,1,2
rand,6,2,6
rand,6,13,1
rand,6,19,13
rand,6,21,679
rand,6,22,642
rand,6,23,631
rand,6,24,695
rand,6,25,643
rgs,1,1,570
rgs,1,2,542
rgs,1,3,611
rgs,1,4,618
rgs,1,5,598
rgs,1,13,1
rgs,1,20,5
rgs,1,21,1
rgs,2,6,527
rgs,2,7,545
rgs,2,8,522
rgs,2,9,536
rgs,2,10,500
rgs,3,11,631
rgs,3,12,661
rgs,3,13,653
rgs,3,14,647
rgs,3,15,635
rgs,3,19,6
rgs,4,16,612
rgs,4,17,568
rgs,4,18,579
rgs,4,19,622
rgs,4,20,554
rgs,5,1,15
rgs,5,10,2
rgs,5,13,1
rgs,5,16,1
rgs,5,21,678
rgs,5,22,654
rgs,5,23,631
rgs,5,24,695
rgs,5,25,643
sa,1,15,3
sa,2,9,1
sa,2,16,1
sa,2,18,1
sa,2,20,1
sa,3,4,6
sa,3,12,3
sa,3,17,3
sa,4,3,4
sa,4,8,3
sa,4,22,14
sa,4,23,14
sa,4,24,15
sa,4,25,10
sa,5,1,585
sa,5,2,537
sa,5,3,603
sa,5,4,612
sa,5,5,598
sa,5,11,3
sa,5,19,4
sa,5,21,1
sa,6,6,527
sa,6,7,544
sa,6,8,519
sa,6,9,535
sa,6,10,502
sa,7,11,628
sa,7,12,658
sa,7,13,654
sa,7,14,647
sa,7,15,632
sa,8,2,1
sa,8,3,4
sa,8,16,612
sa,8,17,565
sa,8,18,578
sa,8,19,622
sa,8,20,558
sa,8,22,3
sa,9,2,4
sa,9,7,1
sa,9,13,1
sa,9,19,2
sa,9,21,678
sa,9,22,637
sa,9,23,617
sa,9,24,680
sa,9,25,633
