topic, metric, value, alpha, gamma, eta, inference, dataset
0,pmi,74.7628,1.00E-05,1.00E-05,0.000154,null,ap-50-set3
0,coh,-282.856,1.00E-05,1.00E-05,0.000154,null,ap-50-set3
0,itd,9.57895,1.00E-05,1.00E-05,0.000154,null,ap-50-set3
1,pmi,45.5271,1.00E-05,1.00E-05,0.000154,null,ap-50-set3
1,coh,-279.136,1.00E-05,1.00E-05,0.000154,null,ap-50-set3
1,itd,9.73684,1.00E-05,1.00E-05,0.000154,null,ap-50-set3
2,pmi,69.824,1.00E-05,1.00E-05,0.000154,null,ap-50-set3
2,coh,-292.496,1.00E-05,1.00E-05,0.000154,null,ap-50-set3
2,itd,9.52632,1.00E-05,1.00E-05,0.000154,null,ap-50-set3
3,pmi,74.7522,1.00E-05,1.00E-05,0.000154,null,ap-50-set3
3,coh,-292.261,1.00E-05,1.00E-05,0.000154,null,ap-50-set3
3,itd,9.68421,1.00E-05,1.00E-05,0.000154,null,ap-50-set3
4,pmi,61.2482,1.00E-05,1.00E-05,0.000154,null,ap-50-set3
4,coh,-300.208,1.00E-05,1.00E-05,0.000154,null,ap-50-set3
4,itd,9.84211,1.00E-05,1.00E-05,0.000154,null,ap-50-set3
5,pmi,46.7997,1.00E-05,1.00E-05,0.000154,null,ap-50-set3
5,coh,-280.138,1.00E-05,1.00E-05,0.000154,null,ap-50-set3
5,itd,9.31579,1.00E-05,1.00E-05,0.000154,null,ap-50-set3
6,pmi,56.4411,1.00E-05,1.00E-05,0.000154,null,ap-50-set3
6,coh,-413.141,1.00E-05,1.00E-05,0.000154,null,ap-50-set3
6,itd,9.68421,1.00E-05,1.00E-05,0.000154,null,ap-50-set3
7,pmi,145.969,1.00E-05,1.00E-05,0.000154,null,ap-50-set3
7,coh,-292.548,1.00E-05,1.00E-05,0.000154,null,ap-50-set3
7,itd,10,1.00E-05,1.00E-05,0.000154,null,ap-50-set3
8,pmi,93.0833,1.00E-05,1.00E-05,0.000154,null,ap-50-set3
8,coh,-337.717,1.00E-05,1.00E-05,0.000154,null,ap-50-set3
8,itd,9.78947,1.00E-05,1.00E-05,0.000154,null,ap-50-set3
9,pmi,87.8383,1.00E-05,1.00E-05,0.000154,null,ap-50-set3
9,coh,-328.955,1.00E-05,1.00E-05,0.000154,null,ap-50-set3
9,itd,9.94737,1.00E-05,1.00E-05,0.000154,null,ap-50-set3
10,pmi,110.495,1.00E-05,1.00E-05,0.000154,null,ap-50-set3
10,coh,-315.317,1.00E-05,1.00E-05,0.000154,null,ap-50-set3
10,itd,10,1.00E-05,1.00E-05,0.000154,null,ap-50-set3
11,pmi,49.8026,1.00E-05,1.00E-05,0.000154,null,ap-50-set3
11,coh,-308.879,1.00E-05,1.00E-05,0.000154,null,ap-50-set3
11,itd,9.84211,1.00E-05,1.00E-05,0.000154,null,ap-50-set3
12,pmi,131.818,1.00E-05,1.00E-05,0.000154,null,ap-50-set3
12,coh,-244.409,1.00E-05,1.00E-05,0.000154,null,ap-50-set3
12,itd,9.73684,1.00E-05,1.00E-05,0.000154,null,ap-50-set3
13,pmi,66.2713,1.00E-05,1.00E-05,0.000154,null,ap-50-set3
13,coh,-266.269,1.00E-05,1.00E-05,0.000154,null,ap-50-set3
13,itd,9.84211,1.00E-05,1.00E-05,0.000154,null,ap-50-set3
14,pmi,152.098,1.00E-05,1.00E-05,0.000154,null,ap-50-set3
14,coh,-393.274,1.00E-05,1.00E-05,0.000154,null,ap-50-set3
14,itd,9.89474,1.00E-05,1.00E-05,0.000154,null,ap-50-set3
15,pmi,55.0832,1.00E-05,1.00E-05,0.000154,null,ap-50-set3
15,coh,-320.234,1.00E-05,1.00E-05,0.000154,null,ap-50-set3
15,itd,9.84211,1.00E-05,1.00E-05,0.000154,null,ap-50-set3
16,pmi,250.179,1.00E-05,1.00E-05,0.000154,null,ap-50-set3
16,coh,-230.281,1.00E-05,1.00E-05,0.000154,null,ap-50-set3
16,itd,10,1.00E-05,1.00E-05,0.000154,null,ap-50-set3
17,pmi,202.869,1.00E-05,1.00E-05,0.000154,null,ap-50-set3
17,coh,-168.663,1.00E-05,1.00E-05,0.000154,null,ap-50-set3
17,itd,10,1.00E-05,1.00E-05,0.000154,null,ap-50-set3
18,pmi,376.051,1.00E-05,1.00E-05,0.000154,null,ap-50-set3
18,coh,-260.162,1.00E-05,1.00E-05,0.000154,null,ap-50-set3
18,itd,9.89474,1.00E-05,1.00E-05,0.000154,null,ap-50-set3
19,pmi,97.3494,1.00E-05,1.00E-05,0.000154,null,ap-50-set3
19,coh,-324.752,1.00E-05,1.00E-05,0.000154,null,ap-50-set3
19,itd,9.84211,1.00E-05,1.00E-05,0.000154,null,ap-50-set3
0,pmi,44.5627,1.00E-05,1.00E-05,0.000154,crs,ap-50-set3
0,coh,-232.568,1.00E-05,1.00E-05,0.000154,crs,ap-50-set3
0,itd,9.625,1.00E-05,1.00E-05,0.000154,crs,ap-50-set3
1,pmi,61.2482,1.00E-05,1.00E-05,0.000154,crs,ap-50-set3
1,coh,-300.208,1.00E-05,1.00E-05,0.000154,crs,ap-50-set3
1,itd,9.8125,1.00E-05,1.00E-05,0.000154,crs,ap-50-set3
2,pmi,55.0832,1.00E-05,1.00E-05,0.000154,crs,ap-50-set3
2,coh,-322.215,1.00E-05,1.00E-05,0.000154,crs,ap-50-set3
2,itd,10,1.00E-05,1.00E-05,0.000154,crs,ap-50-set3
3,pmi,86.5866,1.00E-05,1.00E-05,0.000154,crs,ap-50-set3
3,coh,-323.352,1.00E-05,1.00E-05,0.000154,crs,ap-50-set3
3,itd,9.75,1.00E-05,1.00E-05,0.000154,crs,ap-50-set3
4,pmi,51.883,1.00E-05,1.00E-05,0.000154,crs,ap-50-set3
4,coh,-269.142,1.00E-05,1.00E-05,0.000154,crs,ap-50-set3
4,itd,9.9375,1.00E-05,1.00E-05,0.000154,crs,ap-50-set3
5,pmi,301.802,1.00E-05,1.00E-05,0.000154,crs,ap-50-set3
5,coh,-221.904,1.00E-05,1.00E-05,0.000154,crs,ap-50-set3
5,itd,9.9375,1.00E-05,1.00E-05,0.000154,crs,ap-50-set3
6,pmi,76.8299,1.00E-05,1.00E-05,0.000154,crs,ap-50-set3
6,coh,-257.406,1.00E-05,1.00E-05,0.000154,crs,ap-50-set3
6,itd,10,1.00E-05,1.00E-05,0.000154,crs,ap-50-set3
7,pmi,92.1122,1.00E-05,1.00E-05,0.000154,crs,ap-50-set3
7,coh,-284.949,1.00E-05,1.00E-05,0.000154,crs,ap-50-set3
7,itd,9.9375,1.00E-05,1.00E-05,0.000154,crs,ap-50-set3
8,pmi,87.8383,1.00E-05,1.00E-05,0.000154,crs,ap-50-set3
8,coh,-314.859,1.00E-05,1.00E-05,0.000154,crs,ap-50-set3
8,itd,10,1.00E-05,1.00E-05,0.000154,crs,ap-50-set3
9,pmi,288.737,1.00E-05,1.00E-05,0.000154,crs,ap-50-set3
9,coh,-304.798,1.00E-05,1.00E-05,0.000154,crs,ap-50-set3
9,itd,10,1.00E-05,1.00E-05,0.000154,crs,ap-50-set3
10,pmi,57.2997,1.00E-05,1.00E-05,0.000154,crs,ap-50-set3
10,coh,-312.164,1.00E-05,1.00E-05,0.000154,crs,ap-50-set3
