topic, metric, value, alpha, gamma, eta, inference, dataset
0,pmi,66.1552,1e-05,1e-05,0.000114,null,denews-25-set1
0,coh,-335.118,1e-05,1e-05,0.000114,null,denews-25-set1
0,itd,9.86667,1e-05,1e-05,0.000114,null,denews-25-set1
1,pmi,70.8445,1e-05,1e-05,0.000114,null,denews-25-set1
1,coh,-313.476,1e-05,1e-05,0.000114,null,denews-25-set1
1,itd,9.93333,1e-05,1e-05,0.000114,null,denews-25-set1
2,pmi,-15.8792,1e-05,1e-05,0.000114,null,denews-25-set1
2,coh,-297.717,1e-05,1e-05,0.000114,null,denews-25-set1
2,itd,9.95556,1e-05,1e-05,0.000114,null,denews-25-set1
3,pmi,41.2668,1e-05,1e-05,0.000114,null,denews-25-set1
3,coh,-302.619,1e-05,1e-05,0.000114,null,denews-25-set1
3,itd,9.93333,1e-05,1e-05,0.000114,null,denews-25-set1
4,pmi,57.4067,1e-05,1e-05,0.000114,null,denews-25-set1
4,coh,-252.563,1e-05,1e-05,0.000114,null,denews-25-set1
4,itd,9.8,1e-05,1e-05,0.000114,null,denews-25-set1
5,pmi,49.6238,1e-05,1e-05,0.000114,null,denews-25-set1
5,coh,-321.052,1e-05,1e-05,0.000114,null,denews-25-set1
5,itd,9.86667,1e-05,1e-05,0.000114,null,denews-25-set1
6,pmi,49.6248,1e-05,1e-05,0.000114,null,denews-25-set1
6,coh,-218.956,1e-05,1e-05,0.000114,null,denews-25-set1
6,itd,9.75556,1e-05,1e-05,0.000114,null,denews-25-set1
7,pmi,37.9184,1e-05,1e-05,0.000114,null,denews-25-set1
7,coh,-296.378,1e-05,1e-05,0.000114,null,denews-25-set1
7,itd,10,1e-05,1e-05,0.000114,null,denews-25-set1
8,pmi,35.8211,1e-05,1e-05,0.000114,null,denews-25-set1
8,coh,-295.22,1e-05,1e-05,0.000114,null,denews-25-set1
8,itd,10,1e-05,1e-05,0.000114,null,denews-25-set1
9,pmi,12.0487,1e-05,1e-05,0.000114,null,denews-25-set1
9,coh,-338.233,1e-05,1e-05,0.000114,null,denews-25-set1
9,itd,9.97778,1e-05,1e-05,0.000114,null,denews-25-set1
10,pmi,78.3718,1e-05,1e-05,0.000114,null,denews-25-set1
10,coh,-303.351,1e-05,1e-05,0.000114,null,denews-25-set1
10,itd,9.93333,1e-05,1e-05,0.000114,null,denews-25-set1
11,pmi,52.8402,1e-05,1e-05,0.000114,null,denews-25-set1
11,coh,-321.365,1e-05,1e-05,0.000114,null,denews-25-set1
11,itd,9.97778,1e-05,1e-05,0.000114,null,denews-25-set1
12,pmi,54.4449,1e-05,1e-05,0.000114,null,denews-25-set1
12,coh,-305.409,1e-05,1e-05,0.000114,null,denews-25-set1
12,itd,9.93333,1e-05,1e-05,0.000114,null,denews-25-set1
13,pmi,48.2011,1e-05,1e-05,0.000114,null,denews-25-set1
13,coh,-296.905,1e-05,1e-05,0.000114,null,denews-25-set1
13,itd,9.97778,1e-05,1e-05,0.000114,null,denews-25-set1
14,pmi,66.0743,1e-05,1e-05,0.000114,null,denews-25-set1
14,coh,-282.376,1e-05,1e-05,0.000114,null,denews-25-set1
14,itd,10,1e-05,1e-05,0.000114,null,denews-25-set1
15,pmi,-39.3545,1e-05,1e-05,0.000114,null,denews-25-set1
15,coh,-340.288,1e-05,1e-05,0.000114,null,denews-25-set1
15,itd,9.91111,1e-05,1e-05,0.000114,null,denews-25-set1
16,pmi,-13.1908,1e-05,1e-05,0.000114,null,denews-25-set1
16,coh,-279.633,1e-05,1e-05,0.000114,null,denews-25-set1
16,itd,10,1e-05,1e-05,0.000114,null,denews-25-set1
17,pmi,47.5872,1e-05,1e-05,0.000114,null,denews-25-set1
17,coh,-321.388,1e-05,1e-05,0.000114,null,denews-25-set1
17,itd,9.97778,1e-05,1e-05,0.000114,null,denews-25-set1
18,pmi,21.9132,1e-05,1e-05,0.000114,null,denews-25-set1
18,coh,-315.263,1e-05,1e-05,0.000114,null,denews-25-set1
18,itd,10,1e-05,1e-05,0.000114,null,denews-25-set1
19,pmi,67.675,1e-05,1e-05,0.000114,null,denews-25-set1
19,coh,-199.754,1e-05,1e-05,0.000114,null,denews-25-set1
19,itd,9.93333,1e-05,1e-05,0.000114,null,denews-25-set1
20,pmi,55.3813,1e-05,1e-05,0.000114,null,denews-25-set1
20,coh,-141.678,1e-05,1e-05,0.000114,null,denews-25-set1
20,itd,9.97778,1e-05,1e-05,0.000114,null,denews-25-set1
21,pmi,-1.97586,1e-05,1e-05,0.000114,null,denews-25-set1
21,coh,-264.503,1e-05,1e-05,0.000114,null,denews-25-set1
21,itd,9.97778,1e-05,1e-05,0.000114,null,denews-25-set1
22,pmi,8.68289,1e-05,1e-05,0.000114,null,denews-25-set1
22,coh,-360.707,1e-05,1e-05,0.000114,null,denews-25-set1
22,itd,9.97778,1e-05,1e-05,0.000114,null,denews-25-set1
23,pmi,68.4179,1e-05,1e-05,0.000114,null,denews-25-set1
23,coh,-237.459,1e-05,1e-05,0.000114,null,denews-25-set1
23,itd,9.97778,1e-05,1e-05,0.000114,null,denews-25-set1
24,pmi,31.1938,1e-05,1e-05,0.000114,null,denews-25-set1
24,coh,-234.527,1e-05,1e-05,0.000114,null,denews-25-set1
24,itd,9.97778,1e-05,1e-05,0.000114,null,denews-25-set1
25,pmi,39.7283,1e-05,1e-05,0.000114,null,denews-25-set1
25,coh,-300.541,1e-05,1e-05,0.000114,null,denews-25-set1
25,itd,10,1e-05,1e-05,0.000114,null,denews-25-set1
26,pmi,-89.428,1e-05,1e-05,0.000114,null,denews-25-set1
26,coh,-245.902,1e-05,1e-05,0.000114,null,denews-25-set1
26,itd,10,1e-05,1e-05,0.000114,null,denews-25-set1
27,pmi,-17.9266,1e-05,1e-05,0.000114,null,denews-25-set1
27,coh,-267.247,1e-05,1e-05,0.000114,null,denews-25-set1
27,itd,10,1e-05,1e-05,0.000114,null,denews-25-set1
28,pmi,4.10579,1e-05,1e-05,0.000114,null,denews-25-set1
28,coh,-337.753,1e-05,1e-05,0.000114,null,denews-25-set1
28,itd,10,1e-05,1e-05,0.000114,null,denews-25-set1
29,pmi,-16.2377,1e-05,1e-05,0.000114,null,denews-25-set1
29,coh,-291.143,1e-05,1e-05,0.000114,null,denews-25-set1
29,itd,9.97778,1e-05,1e-05,0.000114,null,denews-25-set1
30,pmi,11.0761,1e-05,1e-05,0.000114,null,denews-25-set1
30,coh,-185.006,1e-05,1e-05,0.000114,null,denews-25-set1
30,itd,9.97778,1e-05,1e-05,0.000114,null,denews-25-set1
31,pmi,22.9545,1e-05,1e-05,0.000114,null,denews-25-set1
31,coh,-281.961,1e-05,1e-05,0.000114,null,denews-25-set1
31,itd,9.97778,1e-05,1e-05,0.000114,null,denews-25-set1
32,pmi,9.23014,1e-05,1e-05,0.000114,null,denews-25-set1
32,coh,-321.235,1e-05,1e-05,0.000114,null,denews-25-set1
32,itd,9.97778,1e-05,1e-05,0.000114,null,denews-25-set1
33,pmi,-18.4848,1e-05,1e-05,0.000114,null,denews-25-set1
33,coh,-314.625,1e-05,1e-05,0.000114,null,denews-25-set1
33,itd,10,1e-05,1e-05,0.000114,null,denews-25-set1
34,pmi,53.8075,1e-05,1e-05,0.000114,null,denews-25-set1
34,coh,-227.676,1e-05,1e-05,0.000114,null,denews-25-set1
34,itd,9.91111,1e-05,1e-05,0.000114,null,denews-25-set1
35,pmi,12.9486,1e-05,1e-05,0.000114,null,denews-25-set1
35,coh,-357.17,1e-05,1e-05,0.000114,null,denews-25-set1
35,itd,9.97778,1e-05,1e-05,0.000114,null,denews-25-set1
36,pmi,51.302,1e-05,1e-05,0.000114,null,denews-25-set1
36,coh,-303.602,1e-05,1e-05,0.000114,null,denews-25-set1
36,itd,9.95556,1e-05,1e-05,0.000114,null,denews-25-set1
37,pmi,-64.0885,1e-05,1e-05,0.000114,null,denews-25-set1
37,coh,-304.488,1e-05,1e-05,0.000114,null,denews-25-set1
37,itd,10,1e-05,1e-05,0.000114,null,denews-25-set1
38,pmi,23.8616,1e-05,1e-05,0.000114,null,denews-25-set1
38,coh,-340.994,1e-05,1e-05,0.000114,null,denews-25-set1
38,itd,9.86667,1e-05,1e-05,0.000114,null,denews-25-set1
39,pmi,-66.2132,1e-05,1e-05,0.000114,null,denews-25-set1
39,coh,-244.617,1e-05,1e-05,0.000114,null,denews-25-set1
39,itd,9.97778,1e-05,1e-05,0.000114,null,denews-25-set1
40,pmi,-3.80863,1e-05,1e-05,0.000114,null,denews-25-set1
40,coh,-274.114,1e-05,1e-05,0.000114,null,denews-25-set1
40,itd,9.95556,1e-05,1e-05,0.000114,null,denews-25-set1
41,pmi,64.9194,1e-05,1e-05,0.000114,null,denews-25-set1
41,coh,-220.648,1e-05,1e-05,0.000114,null,denews-25-set1
41,itd,9.84444,1e-05,1e-05,0.000114,null,denews-25-set1
42,pmi,-35.8453,1e-05,1e-05,0.000114,null,denews-25-set1
42,coh,-294.818,1e-05,1e-05,0.000114,null,denews-25-set1
42,itd,9.97778,1e-05,1e-05,0.000114,null,denews-25-set1
43,pmi,25.1469,1e-05,1e-05,0.000114,null,denews-25-set1
43,coh,-277.327,1e-05,1e-05,0.000114,null,denews-25-set1
43,itd,10,1e-05,1e-05,0.000114,null,denews-25-set1
44,pmi,-21.7515,1e-05,1e-05,0.000114,null,denews-25-set1
44,coh,-308.484,1e-05,1e-05,0.000114,null,denews-25-set1
44,itd,9.91111,1e-05,1e-05,0.000114,null,denews-25-set1
45,pmi,-64.6305,1e-05,1e-05,0.000114,null,denews-25-set1
45,coh,-323.338,1e-05,1e-05,0.000114,null,denews-25-set1
45,itd,10,1e-05,1e-05,0.000114,null,denews-25-set1
