topic, pmi, sc, its, alpha, gamma, eta, inference
0,87.5909,-272.581,624,0.0001,0.0001,0.00114811,null
1,75.851,-314.227,650,0.0001,0.0001,0.00114811,null
2,-11.2001,-309.249,647,0.0001,0.0001,0.00114811,null
3,50.8937,-331.093,633,0.0001,0.0001,0.00114811,null
4,30.2828,-363.654,651,0.0001,0.0001,0.00114811,null
5,68.3206,-345.149,650,0.0001,0.0001,0.00114811,null
6,46.9926,-394.731,651,0.0001,0.0001,0.00114811,null
7,67.9973,-374.748,653,0.0001,0.0001,0.00114811,null
8,47.4572,-320.569,646,0.0001,0.0001,0.00114811,null
9,52.7217,-300.326,644,0.0001,0.0001,0.00114811,null
10,37.9157,-286.735,621,0.0001,0.0001,0.00114811,null
11,60.5912,-244.078,642,0.0001,0.0001,0.00114811,null
12,50.5411,-326.261,648,0.0001,0.0001,0.00114811,null
13,50.7239,-246.152,647,0.0001,0.0001,0.00114811,null
14,53.4685,-189.911,653,0.0001,0.0001,0.00114811,null
15,50.2404,-386.359,643,0.0001,0.0001,0.00114811,null
16,99.2325,-333.097,643,0.0001,0.0001,0.00114811,null
17,43.3336,-291.378,648,0.0001,0.0001,0.00114811,null
18,65.9125,-209.622,643,0.0001,0.0001,0.00114811,null
19,39.5948,-243.438,647,0.0001,0.0001,0.00114811,null
20,-18.0305,-306.19,655,0.0001,0.0001,0.00114811,null
21,54.9698,-350.335,638,0.0001,0.0001,0.00114811,null
22,53.1474,-307.036,641,0.0001,0.0001,0.00114811,null
23,81.856,-321.491,627,0.0001,0.0001,0.00114811,null
24,70.2686,-239.869,634,0.0001,0.0001,0.00114811,null
25,69.1832,-300.811,655,0.0001,0.0001,0.00114811,null
26,68.8179,-272.413,644,0.0001,0.0001,0.00114811,null
27,79.6628,-249.163,629,0.0001,0.0001,0.00114811,null
28,83.1577,-306.5,644,0.0001,0.0001,0.00114811,null
29,30.3938,-257.267,652,0.0001,0.0001,0.00114811,null
30,74.6946,-248.368,642,0.0001,0.0001,0.00114811,null
31,26.1945,-280.533,653,0.0001,0.0001,0.00114811,null
32,72.5336,-258.314,633,0.0001,0.0001,0.00114811,null
33,39.1621,-320.632,640,0.0001,0.0001,0.00114811,null
34,58.3806,-355.954,642,0.0001,0.0001,0.00114811,null
35,58.9242,-341.651,648,0.0001,0.0001,0.00114811,null
36,55.2255,-292.548,654,0.0001,0.0001,0.00114811,null
37,15.7461,-390.198,642,0.0001,0.0001,0.00114811,null
38,35.2128,-439.865,639,0.0001,0.0001,0.00114811,null
39,35.2845,-247.291,649,0.0001,0.0001,0.00114811,null
40,63.0805,-259.803,656,0.0001,0.0001,0.00114811,null
41,-4.70405,-333.651,645,0.0001,0.0001,0.00114811,null
42,53.7095,-278.756,654,0.0001,0.0001,0.00114811,null
43,66.1245,-381.118,643,0.0001,0.0001,0.00114811,null
44,43.3306,-422.455,647,0.0001,0.0001,0.00114811,null
45,40.0379,-394.455,645,0.0001,0.0001,0.00114811,null
46,44.321,-319.177,650,0.0001,0.0001,0.00114811,null
47,61.2235,-401.927,650,0.0001,0.0001,0.00114811,null
48,12.4104,-266.521,641,0.0001,0.0001,0.00114811,null
49,33.0427,-327.607,640,0.0001,0.0001,0.00114811,null
50,9.32852,-404.996,634,0.0001,0.0001,0.00114811,null
51,52.9613,-386.89,649,0.0001,0.0001,0.00114811,null
52,20.175,-415.626,651,0.0001,0.0001,0.00114811,null
53,45.6297,-407.059,644,0.0001,0.0001,0.00114811,null
54,17.7641,-396.433,635,0.0001,0.0001,0.00114811,null
55,50.8942,-244.712,654,0.0001,0.0001,0.00114811,null
56,-26.8132,-333.518,647,0.0001,0.0001,0.00114811,null
57,12.8303,-333.211,649,0.0001,0.0001,0.00114811,null
58,13.3582,-376.124,644,0.0001,0.0001,0.00114811,null
59,-24.6024,-399.873,644,0.0001,0.0001,0.00114811,null
60,42.3176,-401.036,640,0.0001,0.0001,0.00114811,null
61,14.9215,-408.653,630,0.0001,0.0001,0.00114811,null
62,35.4422,-377.822,646,0.0001,0.0001,0.00114811,null
63,29.5037,-382.081,650,0.0001,0.0001,0.00114811,null
64,-30.6242,-407.175,634,0.0001,0.0001,0.00114811,null
65,31.1209,-324.529,650,0.0001,0.0001,0.00114811,null
66,26.7143,-397.63,647,0.0001,0.0001,0.00114811,null
0,54.1558,-302.346,642,0.0001,0.0001,0.00114811,crs
1,32.5234,-290.609,652,0.0001,0.0001,0.00114811,crs
2,68.3206,-345.149,650,0.0001,0.0001,0.00114811,crs
3,49.7361,-382.449,651,0.0001,0.0001,0.00114811,crs
4,71.745,-165.582,644,0.0001,0.0001,0.00114811,crs
5,49.7855,-310.38,647,0.0001,0.0001,0.00114811,crs
6,41.7251,-286.725,652,0.0001,0.0001,0.00114811,crs
7,52.2867,-250.656,653,0.0001,0.0001,0.00114811,crs
8,50.2404,-393.974,644,0.0001,0.0001,0.00114811,crs
9,99.2325,-345.913,644,0.0001,0.0001,0.00114811,crs
10,-17.0717,-256.954,645,0.0001,0.0001,0.00114811,crs
11,38.8343,-341.965,630,0.0001,0.0001,0.00114811,crs
12,81.856,-332.789,622,0.0001,0.0001,0.00114811,crs
13,-0.927561,-409.365,650,0.0001,0.0001,0.00114811,crs
14,68.8179,-274.007,643,0.0001,0.0001,0.00114811,crs
15,51.2721,-339.425,641,0.0001,0.0001,0.00114811,crs
16,61.9078,-311.543,655,0.0001,0.0001,0.00114811,crs
17,40.0456,-254.791,655,0.0001,0.0001,0.00114811,crs
18,79.6628,-249.163,632,0.0001,0.0001,0.00114811,crs
19,45.8864,-385.691,641,0.0001,0.0001,0.00114811,crs
20,76.5002,-206.126,636,0.0001,0.0001,0.00114811,crs
21,28.6136,-244.352,648,0.0001,0.0001,0.00114811,crs
22,72.5336,-258.314,636,0.0001,0.0001,0.00114811,crs
23,39.1621,-339.562,645,0.0001,0.0001,0.00114811,crs
24,63.9707,-312.97,655,0.0001,0.0001,0.00114811,crs
